"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1682","Test case : validlogin @datadriven","chromium","2026-07-05","passed","2026-07-05","","loginTestdatadriven.spec.ts","",""
"","28408","logout scenario @master @logout","firefox","2026-07-05","failed","2026-07-05","","Logout.spec.ts","",""
"","3298","login test","chromium","2026-07-04","passed","2026-07-04","","logintest.spec.ts","",""
"","1766","Test case : Invalid login @datadriven","chromium","2026-07-05","passed","2026-07-05","","loginTestdatadriven.spec.ts","",""
"","14331","Search the product","chromium","2026-07-06","passed","2026-07-06","","searchproduct.spec.ts","",""
"","3731","user registration","chromium","2026-07-03","passed","2026-07-03","","Accountregistration.spec.ts","",""
"","1850","Test case : Valid login @datadriven","chromium","2026-07-05","passed","2026-07-05","","loginTestdatadriven.spec.ts","",""
"","13643","logout scenario @master @logout","chromium","2026-07-07","passed","2026-07-07","","Logout.spec.ts","",""
"","2116","login test2 @master @sanity @regression","chromium","2026-07-07","passed","2026-07-07","","logintest.spec.ts","",""
"","1635","Test case : Invalidlogin @datadriven","chromium","2026-07-05","passed","2026-07-05","","loginTestdatadriven.spec.ts","",""
"","33770","logout scenario @master @logout","webkit","2026-07-05","broken","2026-07-05","","Logout.spec.ts","",""
"","2553","login test @master @sanity @regression","chromium","2026-07-07","passed","2026-07-07","","logintest.spec.ts","",""
